doi,pmcid
10.3138/ptc-2020-0038,PMC8816363
10.3138/ptc-2020-0074,PMC8816367
10.3138/ptc-2020-0035,PMC8816353
10.3138/ptc-2020-0053,PMC10262738
10.3138/ptc-2020-0056,PMC10262742
10.3138/ptc-2020-0064,PMC10262732
10.3138/ptc-2020-0085,PMC10262736
10.3138/ptc-2020-0067,PMC10262741
10.3138/ptc-2020-0071,PMC10262745
10.3138/ptc-2020-0095,PMC10262836
10.3138/ptc-2020-0116,PMC10262825
10.3138/ptc-2021-0043,PMC10262721
10.3138/ptc-2020-0148,PMC10262724
10.3138/ptc-2020-0123,PMC10262725
10.3138/ptc-2020-0111,PMC10262718
10.3138/ptc-2021-0030,PMC10211389
10.3138/ptc-2021-0026,PMC10510560
10.3138/ptc-2020-0142,PMC10510562
10.3138/ptc-2021-0020,PMC10510553
10.3138/ptc-2021-0021,PMC10510555
10.3138/ptc-2020-0141,PMC10510534
10.3138/ptc-2021-0078,PMC10510537
10.3138/ptc-2021-0084,PMC10686300
10.3138/ptc-2021-0068,PMC10686302
10.1093/ptj/pzac132,PMC9619742
10.1093/ptj/pzac143,PMC10071501
10.1093/ptj/pzac152,PMC10071582
10.1093/ptj/pzac155,PMC10071583
10.1093/ptj/pzad007,PMC10071586
10.1093/ptj/pzac170,PMC10071584
10.1093/ptj/pzad005,PMC10071588
10.1093/ptj/pzac171,PMC10071585
10.1093/ptj/pzad006,PMC10410097
10.1093/ptj/pzad012,PMC10155809
10.1093/ptj/pzad009,PMC10655208
10.1093/ptj/pzad014,PMC10158643
10.1093/ptj/pzad025,PMC10228382
10.1093/ptj/pzad033,PMC10309805
10.1093/ptj/pzad039,PMC10492575
10.1093/ptj/pzad071,PMC10471202
10.1093/ptj/pzad090,PMC10471154
10.1093/ptj/pzad055,PMC10476876
10.1093/ptj/pzad070,PMC10506849
10.1093/ptj/pzad059,PMC10476875
10.1093/ptj/pzad108,PMC11009693
10.1093/ptj/pzad057,PMC11009692
10.1093/ptj/pzad102,PMC10661657
10.1093/ptj/pzad086,PMC10630612
10.1093/ptj/pzad111,PMC10683042
10.1093/ptj/pzad106,PMC10799252
10.1093/ptj/pzad100,PMC10641927
10.1093/ptj/pzad123,PMC10715680
10.1093/ptj/pzad091,PMC10740005
10.1093/ptj/pzad092,PMC10733132
10.3138/ptc-2023-0046,PMC10919365
10.3138/ptc-2021-0099,PMC10919358
10.3138/ptc-2021-0110,PMC10919367
10.3138/ptc-2021-0118,PMC10919366
10.3138/ptc-2022-0038,PMC11078247
10.1093/ptj/pzad115,PMC10822773
10.1093/ptj/pzad145,PMC10824628
10.1093/ptj/pzad136,PMC10802992
10.1093/ptj/pzad113,PMC10776311
10.1093/ptj/pzad121,PMC12142495
10.1093/ptj/pzad127,PMC10851867
10.1093/ptj/pzad172,PMC10851839
10.1093/ptj/pzad184,PMC10851845
10.1093/ptj/pzad185,PMC10851858
10.1093/ptj/pzad159,PMC10939334
10.1093/ptj/pzad166,PMC10921830
10.1093/ptj/pzad171,PMC11021861
10.1093/ptj/pzae057,PMC11272218
10.1093/ptj/pzae069,PMC11913609
10.1093/ptj/pzae066,PMC11365697
10.1093/ptj/pzae071,PMC11296377
10.1093/ptj/pzae047,PMC11735959
10.1093/ptj/pzae107,PMC11523612
10.1093/ptj/pzae087,PMC11485024
10.1093/ptj/pzae082,PMC11491512
10.1093/ptj/pzae088,PMC12104018
10.1093/ptj/pzae094,PMC11446638
10.1093/ptj/pzae093,PMC11586087
10.1093/ptj/pzae142,PMC11531345
